Neutrino Depth [m]	Neutrino Min Angle [degrees]	Neutrino Max Angle [degrees]	Hydrophone Depth [m]	Hydrophone Distance [m]	Time of Arrival [s]	Signal Amplitude	Angle of Departure [degrees]	Angle of Arrival [degrees]	Surface Bounces	Bottom Bounces
1500.0	-89.0	-80.0	1600.0	100.0	3.18231869	(-1.516200582539909e-07-1.8664495749320047e-08j)	-88.8016052	-88.7993011	1	1
1500.0	-89.0	-80.0	1600.0	100.0	2.04408908	(-1.428737037296732e-06+9.817626338096852e-06j)	-88.1523056	88.1508789	1	0
1500.0	-89.0	-80.0	1600.0	100.0	2.04410005	(2.6627323530361482e-05-2.091348087170794e-07j)	-88.1342697	88.1331329	1	0
1500.0	-89.0	-80.0	1700.0	100.0	3.11702037	(3.23793203656742e-07-4.609511449319134e-08j)	-88.8016052	-88.7993011	1	1
1500.0	-89.0	-80.0	1700.0	100.0	3.11700726	(-1.6375028969724548e-07+4.52657097332624e-07j)	-88.7835693	-88.7807617	1	1
1500.0	-89.0	-80.0	1700.0	100.0	2.10937881	(1.689182562595614e-05+3.1947971263438897e-06j)	-88.2064133	88.2041855	1	0
1500.0	-89.0	-80.0	1700.0	100.0	2.10939837	(-1.5312937383500152e-05-4.008705433688074e-06j)	-88.1883774	88.1863861	1	0
1500.0	-89.0	-80.0	1800.0	100.0	3.05178785	(2.1357703358997072e-07-8.212446738440211e-07j)	-88.7655334	-88.7605591	1	1
1500.0	-89.0	-80.0	1800.0	100.0	3.05174112	(3.617298494864709e-08-9.592683835769373e-09j)	-88.7474976	-88.7419968	1	1
1500.0	-89.0	-80.0	1800.0	100.0	2.17463231	(-6.078998812250663e-06-1.6011494969592317e-05j)	-88.2605209	88.2550507	1	0
1500.0	-89.0	-80.0	1800.0	100.0	2.17463923	(-1.2613406003550476e-05-1.533091349780984e-06j)	-88.242485	88.2372818	1	0
1500.0	-89.0	-80.0	1900.0	100.0	2.98660469	(-2.9262210466503563e-07+3.136050928849298e-07j)	-88.7474976	-88.7419968	1	1
1500.0	-89.0	-80.0	1900.0	100.0	2.98658156	(5.147234798519737e-07-1.7535063197001472e-07j)	-88.7294617	-88.7234268	1	1
1500.0	-89.0	-80.0	1900.0	100.0	2.23977637	(1.0247603600013095e-05+6.57127005902071e-06j)	-88.3146286	88.3083572	1	0
1500.0	-89.0	-80.0	1900.0	100.0	2.23979664	(-1.281577275453319e-05-7.470940570329951e-06j)	-88.2965927	88.2905884	1	0
1500.0	-89.0	-80.0	2000.0	100.0	2.9214685	(1.3903446168284483e-07-9.056842469328676e-07j)	-88.7114258	-88.7048569	1	1
1500.0	-89.0	-80.0	2000.0	100.0	2.92146134	(1.4549278326314082e-07-4.401703004120745e-08j)	-88.6933899	-88.6846542	1	1
1500.0	-89.0	-80.0	2000.0	100.0	2.3049016	(2.3666564760272443e-05-6.076541029029053e-06j)	-88.353653	88.3447723	1	0
